default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
Compaq,,,,,187602-B21,,,,,Proliant ML370/P1000 PIII Processor Option Kit,,,,,y,,,,,14,,,,,$1495.00,,,,,$895.00:end
Compaq,,,,,328583-B21,,,,,1GB EDO MEMORY KIT (4X256MB BUFFERED EDO DIMMS 50NS) ,,,,,y,,,,,489,,,,,$2495.00,,,,,$850.00:end
COMPAQ,,,,,189081-B21,,,,,1024-MB PC100-MHz Advanced ECC SDRAM Memory Option Kit (4 x 256 MB),,,,,Y,,,,,456,,,,,$1595.00,,,,,$550.00:end
COMPAQ,,,,,174449-B21,,,,,P3-700 XEON 2MB CACHE PROCESSOR KIT FOR PROLIANT ML570 DL580,,,,,Y,,,,,185,,,,,$3395.00,,,,,$2200.00:end
