default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
Compaq,,,,,124992-B21,,,,,Smart Array 5302/64 Controller ML370,,,,,y,,,,,10,,,,,$1895.00,,,,,$1333.00:end
Compaq,,,,,166207-B21,,,,,SMART ARRAY 5302/32 CONTROLLER 32MB PCI 2CH ,,,,,n,,,,,487,,,,,$2595.00,,,,,$800.00:end
