default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
Dymo-Coster,,,,,68005,,,,,Label Print Costar Label Writer (EL60),,,,,y,,,,,42,,,,,349.00,,,,,150.67:end
SEIKO,,,,,SLP240,,,,,Smart Label 220 Printer,,,,,y,,,,,89,,,,,$495.00,,,,,$253.44:end
