default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
IBM,,,,,2629HWU-384mb,,,,,A21P/PIII 850mhz 256mb Laptop w/Compuman Case,,,,,n,,,,,15,,,,,4195.00,,,,,3440.00:end
IBM,,,,,2629HWU,,,,,A21P/PIII 850mhz 128mb Laptop,,,,,n,,,,,12,,,,,3995.00,,,,,3155.00:end
IBM,,,,,33L4851,,,,,Compuman Carrying Case,,,,,n,,,,,45,,,,,145.00,,,,,75.00:end
Dell,,,,,220-5526A,,,,,C600/850 Latitude Laptop 128mb 10gb,,,,,n,,,,,12,,,,,3945.00,,,,,2830.00:end
Dell,,,,,220-5526B,,,,,C600/850 Latitude Laptop 512mb 20gb,,,,,n,,,,,14,,,,,4495.00,,,,,2943.00:end
Dell,,,,,220-5526C,,,,,C600/850 Latitude Laptop 128mb 10gb w/ case,,,,,n,,,,,15,,,,,4045.00,,,,,2930.00:end
IBM,,,,,26292TU,,,,,A22P/PIII 1000mhz 256mb 128/32 CDRW 15,,,,,n,,,,,48,,,,,4795.00,,,,,3645.00:end
