default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
Compaq,,,,,480083-001,,,,,Hot Plug Redundant Power Supply ML370,,,,,y,,,,,18,,,,,$450.00,,,,,$295.00:end
Compaq,,,,,153506-B21,,,,,128MB CACHE MODULE FOR SA-5300 . ,,,,,y,,,,,197,,,,,$995.00,,,,,$525.00:end
Compaq,,,,,242704-001,,,,,UPS R1500,,,,,y,,,,,68,,,,,$995.00,,,,,$595.00:end
