default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
KODAK,,,,,2500,,,,,Digital Science Scanner,,,,,n,,,,,12,,,,,8995.00,,,,,7495.00:end
HP,,,,,C6075B,,,,,Hewlett Packard 1055CM Plotter with 610N Jetdirect and H5655A/E 3yr Next Day Onsite Warranty ,,,,,y,,,,,88,,,,,$18870.00,,,,,$12465.00:end
