default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
HP,,,,,C3146A (KTHA+/16),,,,,16MB Ram Upgrade Dimm,,,,,,,,,,24,,,,,249.95,,,,,34.55:end
HP,,,,,J3263A,,,,,Jet Direct 300x Print server,,,,,y,,,,,97,,,,,$496.00,,,,,$249.00:end
HP,,,,,C7044A,,,,,Laserjet 1200 Printer,,,,,y,,,,,65,,,,,$796.00,,,,,$418.00:end
