default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default,,,,,default:end
Compaq,,,,,159138-001,,,,,36.4GB 10K RPM SBB DISK DRIVE  ,,,,,n,,,,,30,,,,,1995.00,,,,,1529.00:end
Compaq,,,,,142673-B22,,,,,18.2GB PLUGGABLE WIDE ULTRA3 SCSI 10K RPM UNIVERSAL DRIVE ,,,,,n,,,,,1245,,,,,$495.00,,,,,$370.00:end
Compaq,,,,,157866-001,,,,,REMOTE INSIGHT LIGHTS-OUT EDITION RIBLO PCI,,,,,y,,,,,147,,,,,$695.00,,,,,$400.00:end
